अ	[सं.] ना.
अगेट्ठा	नाम
अगेठो	नाम
अगेडुलो	नाम
अगेनी	नाम
अगेनु	नाम [सं. अग्न्याधान]
अगेनु/अगेनो	ना. [सं. अग्न्याधानम्]
अगेनो	नाम [सं. अग्न्याधान]
अगेन्द्र	नाम [सं.]
अगेर	क्रियाविशेषण
अगेरी	नाम
अगैया	विशेषण
अगोचर	वि. [सं.]
अगोचरता	नाम [सं.]
अगोट्नु	सकर्मक क्रिया
अगोड	ना. [अगि गोड]
अगोत्र	नाम [सं.]
अगोत्री	विशेषण [अ+गोत्री]
अगोत्रीय	विशेषण [सं.]
अगोर्ना	क्रिया [था.]
अगोलित	वि. [सं.]
अगौटे	वि. [अगि+औटे]
अगौतो	विशेषण
अगौली	नाम [मग.]
अग्गा	विशेषण
अग्ग्वा	विशेषण
अग्घोर	क्रि.वि. [अघोर]
अग्घोरी	विशेषण
अग्घोरै	क्रियाविशेषण
अग्तिया	नाम
अग्नायी	नाम [सं.]
अग्नि	नाम [सं.]
अग्निकण	नाम [सं.]
अग्निकर्म	नाम [सं.]
अग्निकवच	नाम [सं.]
अग्निकाण्ड	नाम [सं.]
अग्निकारी	विशेषण [सं.]
अग्निकाष्ठ	नाम [सं.]
अग्निकुण्ड	नाम [सं.]
अग्निकुमार	नाम [सं.]
अग्निकोण	नाम [सं.]
अग्निक्रिया	नाम [सं.]
अग्निक्रीडा	नाम [सं.]
अग्निगर्भ	नाम [सं.]
अग्निगर्भा	नाम [सं.]
अग्निगाँठी	नाम
अग्निचक्र	नाम [सं.]
अग्निचरो	नाम
अग्निज	विशेषण [सं.]
अग्निजिह्वा	नाम [सं.]
अग्निज्वाला	नाम [सं.]
अग्नित्रय	नाम [सं.]
अग्निदग्ध	विशेषण [सं.]
अग्निदाता	विशेषण [सं.]
अग्निदाह	नाम [सं.]
अग्निदीपक	नाम [सं.]
अग्निदीपन	नाम [सं.]
अग्निदेव	नाम [सं.]
अग्निदेवता	नाम
अग्निनिरोधी	विशेषण [सं.]
अग्निपरिक्रमा	नाम [सं.]
अग्निपरिक्रिया	नाम [सं.]
अग्निपरीक्षा	नाम [सं.]
अग्निपाक	विशेषण [सं.]
अग्निपुराण	नाम [सं.]
अग्निपूजक	विशेषण [सं.]
अग्निपूजन	नाम
अग्निबीज	नाम [सं.]
अग्निबोट	नाम
अग्निभय	नाम
अग्निभू	विशेषण
अग्निमणि	नाम [सं.]
अग्निमण्डल	नाम [सं.]
अग्निमन्थ	नाम [सं.]
अग्निमन्दता	नाम [सं.]
अग्निमान्द्य	नाम [सं.]
अग्निमित्र	नाम [सं.]
अग्निमुख	नाम [सं.]
अग्निमुखी	विशेषण [सं.]
अग्निमोचक	नाम [सं.]
अग्नियन्त्र	नाम [सं.]
अग्निया	नाम [सं.]
अग्निरक्षण	नाम [सं.]
अग्निरेखा	नाम [सं.]
अग्निरोहिणी	नाम [सं.]
अग्निवर्धक	विशेषण [सं.]
अग्निवर्षा	नाम [सं.]
अग्निवल्लभ	नाम [सं.]
अग्निवाण	नाम [सं.]
अग्निवात	नाम [सं.]
अग्निवारक	विशेषण [सं.]
अग्निवाहन	विशेषण [सं.]
अग्निविकार	नाम [सं.]
अग्निविद्या	नाम [सं.]
अग्निविन्दु	नाम [सं.]
अग्निशर्मा	विशेषण [सं.]
अग्निशामक	विशेषण [सं.]
अग्निशाला	नाम [सं.]
अग्निशिखा	नाम [सं.]
अग्निशुद्धि	नाम [अग्नि+शुद्धि]
अग्निशेखर	नाम [सं.]
